182
[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2]
0.010,0.00000000,2.059
0.020,0.00000000,2.258
0.030,0.00000000,2.274
0.040,0.00000000,2.261
0.050,0.00000000,2.239
0.060,0.00000000,2.214
0.070,0.00000000,2.187
0.080,0.00000000,2.159
0.090,6000.25000000,2.131
0.100,0.00000000,2.102
0.110,1000.25000000,2.073
0.120,0.00000000,2.044
0.130,0.00000000,2.015
0.140,0.00000000,1.985
0.150,1000.00000000,1.956
0.160,0.00000000,1.927
0.170,0.00000000,1.897
0.180,0.00000000,1.868
0.190,0.00000000,1.839
0.200,0.00000000,1.809
