182
[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2]
0.010,43.00189018,3.455
0.020,51.00274086,3.240
0.030,75.00362396,3.124
0.040,52.00147629,3.065
0.050,45.00317574,3.033
0.060,38.00153732,3.011
0.070,45.00222206,3.001
0.080,45.00484467,2.988
0.090,34.00135040,2.979
0.100,33.00213814,2.974
0.110,31.00180626,2.971
0.120,22.00174332,2.969
0.130,33.00070763,2.966
0.140,42.00315475,2.966
0.150,39.00218010,2.964
0.160,41.00251198,2.963
0.170,50.00352859,2.963
0.180,28.00178528,2.962
0.190,47.00231552,2.963
0.200,39.00289536,2.959
