Xr,Yr,Zr,Qtx,Qty,Qtz
-23.338476,1.002087,-0.939602,-22.0838341378,1.0020870003,-1.03101631639
-23.467897,1.002087,-0.779659,-22.5685189037,1.00208700018,-0.961670337285
-24.114595,1.002087,-0.773553,-23.0397738492,1.00208700011,-0.965097742219
-24.688728,1.002087,-0.768541,-23.3411534101,1.00208700007,-0.937297203919
-25.4076,1.002087,-0.762268,-23.7256314283,1.00208700005,-0.897513525911
-26.129379,1.002087,-0.75597,-24.0700420998,1.00208700003,-0.868687980127
-26.806061,1.002087,-0.73291,-24.5498965199,1.00208700002,-0.830682279915
-27.301823,1.002087,-0.702829,-25.0546814531,1.00208700001,-0.797008714141
-28.113071,1.002087,-0.653272,-25.6548776979,1.00208700001,-0.765394193056
-28.834192,1.002087,-0.609323,-26.189541476,1.00208700001,-0.740031588909
-29.194757,1.002087,-0.587487,-26.632512709,1.002087,-0.719947564848
-30.096178,1.002087,-0.533007,-27.4641848776,1.002087,-0.676490701796
-30.862379,1.002087,-0.486402,-28.1779915968,1.002087,-0.638582207824
-31.538437,1.002087,-0.445071,-28.6639977851,1.002087,-0.611683673618
-32.034622,1.002087,-0.42435,-29.3944576526,1.002087,-0.573611242834
-32.531281,1.002087,-0.419367,-30.0705193259,1.002087,-0.542059535218
-33.524597,1.002087,-0.410688,-30.892617525,1.002087,-0.509107138927
-34.247009,1.002087,-0.404384,-31.4688246799,1.002087,-0.484300326896
-34.969421,1.002087,-0.398079,-32.1478627207,1.002087,-0.461528642788
-35.601532,1.002087,-0.392545,-32.7282417441,1.002087,-0.445792863127
-35.917583,1.002087,-0.388288,-33.2758970255,1.002087,-0.432252008811
-37.54158,1.002087,-0.318061,-34.3247644629,1.002087,-0.397828779749
-38.308365,1.002087,-0.281901,-34.8360064319,1.002087,-0.386495919434
-38.939835,1.002087,-0.252123,-35.6906210079,1.002087,-0.363961805094
-39.356457,1.254446,-0.214212,-36.3843539019,1.09079374223,-0.336886001252
-39.442368,1.315641,-0.203697,-36.8722743135,1.07916015595,-0.321506723683
-40.013535,1.722492,-0.128656,-37.7373725492,1.240276837,-0.269990627909
-40.575523,2.122802,-0.083553,-38.3613722725,1.36509265911,-0.24201618977
-40.887161,2.344785,-0.131143,-38.8256366945,1.46093346857,-0.240575445568
-41.124905,2.514133,-0.175393,-39.3058420933,1.6212783601,-0.219865266067
-41.463688,2.755452,-0.238773,-39.8284686796,1.85714004668,-0.210390618525
-41.763599,2.969081,-0.286912,-40.270017022,2.07851457964,-0.205603017801
-41.923565,3.083027,-0.312344,-40.6014930751,2.25608916296,-0.208468464608
-42.083591,3.197018,-0.336841,-40.9176907136,2.44365573654,-0.225027620035
-42.906494,3.78318,-0.379987,-41.4058760573,2.76908631684,-0.252010368923
-43.14666,3.954252,-0.352749,-41.6243325512,2.90694347792,-0.258728331853
-43.544777,4.237835,-0.267024,-41.9860085856,3.15282606358,-0.255128498368
-43.8638,4.465081,-0.200298,-42.3654957206,3.4141507277,-0.26513136592
-44.143589,4.664378,-0.151884,-42.7666441303,3.69342504096,-0.265321985988
-44.243515,4.735557,-0.13489,-43.0430535741,3.88668487263,-0.259410802271
-44.703339,5.063092,-0.059312,-43.4582143618,4.18014016075,-0.216856252869
-45.365391,5.534681,0.000817,-43.888960334,4.48545493057,-0.180825312558
